1,JIN,The Astronaut
2,Jung Kook,Dreamers (Music from the FiFA World Cup Qatar 2022 Official Soundtrack)
3,JIN,Yours
4,Meghan Trainor,No
5,Meghan Trainor,Made You Look
6,Younha,Event Horizon
7,BTS,Epiphany
8,Sam Smith & Kim Petras,Unholy
9,BTS,Moon
10,Shin Yong Jae,Mother
11,HoneyWorks,Kawaikutegomen (feat. Capi)
12,Alessia Cara,Make It To Christmas (Stripped)
13,BTS,Awake
14,Imagine Dragons,Thunder
15,JIN,Tonight
16,Charlie Puth,I Don't Think That I Like Her
17,AJR,World's Smallest Violin
18,JIN,Abyss
19,BE'O,Complex (feat. ZICO)
20,Daughtry,One Last Chance
21,Fujii Kaze,Shinunoga E-Wa
22,VGEE,Face (VGEE REMIX)
23,Gnarls Barkley,Crazy
24,Tei,Monologue
25,Baek A,Amor
26,5 Seconds of Summer,Teeth
27,Younha,Oort Cloud
28,BE'O,LOVE me
29,AURORA,Cure For Me
30,Zot On the Wave & Fuji Taito,Crayon
31,Crush,Rush Hour (feat. j-hope of BTS)
32,Stacey Ryan,Fall In Love Alone (Sped Up Version)
33,Alan Walker,The Drum
34,An Nyeong,Haeyo (2022)
35,Lee Young Hyun,So you
36,Ava Max,Christmas Without You
37,LE SSERAFIM,ANTIFRAGILE
38,10cm,Gradation
39,BTS,Wish (Seok Jin Theme) [BTS World Original Soundtrack] [Instrumental]
40,Armani White,BILLIE EILISH.
41,Chuu,Confession (Ditto)
42,Seotaiji and Boys,To You
43,10cm & BIG Naughty,Just 10 centimeters
44,Charlie Puth,That's Hilarious
45,Sam Smith,I'm Not The Only One
46,IVE,After LIKE
47,YOON MI RAE & BIBI,LAW
48,Sia,Snowman
49,OneRepublic,I Ain't Worried
50,Kang Min Kyung & Choi Jung Hoon,Because we loved
51,Kim Seungmin,My pleasure Is That You Ride The Bentley
52,Weeekly,After School
53,(G)I-DLE,Nxde
54,LE SSERAFIM,Impurities
55,Sa-Fire,I Missed You
56,Kelly Clarkson & Ariana Grande,"Santa, Can’t You Hear Me"
57,Onestar,Get Ready To Leave
58,Sia,Unstoppable
59,Gaya-G,At That Moment
60,Taylor Swift,Anti-Hero
61,Christopher & CHUNG HA,When I Get Old
62,SG Wannabe & Brown Eyed Girls,Must Have Love
63,JIN,Super Tuna
64,GyeongseoYeji & 전건호,If You Lovingly Call My Name
65,Charlie Puth,Dangerously
66,Boramiyu & SUNNYSIDEMJ,Ring Back Tone
67,Stray Kids,CASE 143
68,Charlie Puth & Jung Kook,Left and Right
69,NewJeans,Hype Boy
70,Beach House,Space Song
71,Kelly Clarkson,Underneath the Tree
72,Michael Bublé,It's Beginning To Look a Lot Like Christmas
73,TopHyun,Tell me you love me
74,كوفر بطيء,حلمي - بطيء
75,JUKJAE,After Travel
76,"Trinidad Cardona, Davido & AISHA",Hayya Hayya (Better Together) [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
77,Lim Young Woong,London Boy
78,Justin Bieber,Off My Face
